Transaction Name,Transaction Name URL,Company Name,Company Name URL,Funding Type,Money Raised,Announced On Date,Number of Investors,Pre-Money Valuation
tweetTV's Angel Round,https://www.crunchbase.com/funding-round/3bca982ba47b12e8f40d17e8391915e7,tweetTV,https://www.crunchbase.com/organization/tweettv,Angel,"$750,000",03/27/2012,1,
Unique Microguides' Seed Round,https://www.crunchbase.com/funding-round/2a48e46bfd2efbe3fe981e73c6dad5a0,Unique Microguides,https://www.crunchbase.com/organization/unique-microguides,Seed,"$575,000",06/01/2011,1,
KienVe's Seed Round,https://www.crunchbase.com/funding-round/34cd646b413e97c96cfb5b068bc38752,KienVe,https://www.crunchbase.com/organization/kienve,Seed,"$40,000",06/27/2012,1,
Pinnatta's Angel Round,https://www.crunchbase.com/funding-round/5b60085147ec84de3746086ef6e1dd34,Pinnatta,https://www.crunchbase.com/organization/pinnatta,Angel,"$250,000",11/01/2012,1,
Creative Brain Studios' Seed Round,https://www.crunchbase.com/funding-round/af9efd7ebabdb68c7963789ddf444f38,Creative Brain Studios,https://www.crunchbase.com/organization/creative-brain-studios,Seed,,08/01/2011,1,
Rapt Media's Seed Round,https://www.crunchbase.com/funding-round/4a6d39ac8d5b2043ab84fa246c115f2f,Rapt Media,https://www.crunchbase.com/organization/rapt-media,Seed,,08/01/2011,1,
Showbucks' Seed Round,https://www.crunchbase.com/funding-round/13b5f6dcb94309f3767fe817df05b6b8,Showbucks,https://www.crunchbase.com/organization/showbucks,Seed,,06/07/2012,1,
Filmzu's Seed Round,https://www.crunchbase.com/funding-round/99bd1bb323ed6a62bf8dc16287ad48a9,Filmzu,https://www.crunchbase.com/organization/filmzu,Seed,"$50,000",01/01/2013,2,
Minutizer's Seed Round,https://www.crunchbase.com/funding-round/100d05dce07c239626b2c36115542255,Minutizer,https://www.crunchbase.com/organization/minutizer,Seed,"$10,000",03/31/2013,2,
DabKick's Convertible Note,https://www.crunchbase.com/funding-round/05ef13730953f7766a10a9d893bd691a,DabKick,https://www.crunchbase.com/organization/dabkick,Convertible Note,,07/24/2013,2,
Pointstic's Series A,https://www.crunchbase.com/funding-round/3b264eab62391f98a4a293e53ab7cae9,Pointstic,https://www.crunchbase.com/organization/pointstic,Series A,"$600,000",08/05/2013,1,"$2,100,000"
Convo's Series A,https://www.crunchbase.com/funding-round/8be3b502db9886416ae1f1e1330c1d4d,Convo,https://www.crunchbase.com/organization/convo,Series A,"$5,000,000",09/16/2013,1,
Altia Systems' Series A,https://www.crunchbase.com/funding-round/e5a2919b5fb9d5fbc0ab04ae841186fa,Altia Systems,https://www.crunchbase.com/organization/altia-systems,Series A,"$6,700,000",10/28/2013,1,
